	Pšenica in pira	Ječmen	Oves	Koruza za zrnje	Fižol za zrnje	Krompir	Hmelj
1991	39433	7863	2372	64229	556	13087	2456
1992	36413	8146	2376	61220	574	12928	2398
1993	37173	9093	2388	59253	559	12434	2466
1994	35876	12652	2590	49359	481	10147	2292
1995	36779	12719	1866	46750	594	10070	2205
1996	35159	12543	1888	47123	595	9382	2233
1997	33431	10828	1817	47491	570	9186	2163
1998	35025	10871	1793	45592	436	9200	2010
1999	31615	10935	2405	44401	303	9845	1803
2000	38256	11570	2251	48009	309	8952	1766
2001	39335	12664	1917	47571	323	7785	1682
2002	35729	12392	2014	45525	308	7113	1817
2003	35585	13789	1964	44137	351	6832	1662
2004	32385	15324	1854	45996	351	6833	1524
2005	30059	15451	2731	42369	451	6306	1453
2006	32083	17044	2471	39839	448	5900	1507
2007	32040	18532	2332	40906	355	5736	1572
2008	35413	19229	1887	43698	355	4427	1638
2009	34534	20089	1773	38611	355	4175	1660
2010	31946	18730	1773	36433	289	4125	1488
2011	29665	17477	1842	40185	289	3640	1376
2012	34586	17967	1369	39166	289	3386	1159
2013	31758	17314	1203	41857	396	3307	1166
2014	33124	18482	1364	38331	396	3600	1296
2015	30734	20110	1506	37743	396	3318	1405
2016	31461	19184	1332	36388	634	3164	1485
2017	28016	20369	1448	38290	634	3165	1591
2018	27822	20994	1245	37079	634	2812	1667
2019	26727	21139	1207	38883	634	2796	1616
2020	27286	22207	950	39829	387	2969	1489
2021	26785	21863	1195	41402	387	2734	1535
2022	27564	22546	1011	41562	387	2886	1622
2023	28705	21947	871	44253	387	2940	1661
